ID;join date;date of birth;gender;city;GMV (in scale);Count of Invoice;Count of Customer;%GMV of cigarettes;Total Voucher/Discount (in scale);Count of active days;Count of cancelled order;Profit (in scale);Commission (in scale);Count of SKU;Count of Category
1085;2021-03-18;1988-09-04;L;Surabaya;20.760;6;4;91,23%;0;6;0;104;40;9;5
1281;2020-11-27;1986-09-22;P;Surabaya;550.416;320;65;61,83%;623;30;6;6.640;3.188;214;13
3647;2020-10-24;1989-10-13;P;Sidoarjo;8.647;18;8;3,83%;61;10;0;267;149;34;9
4076;2020-10-12;1984-02-21;L;Malang;10.480;17;7;13,77%;5;13;2;226;106;49;8
4868;2020-10-05;1992-02-09;P;Malang;42.837;42;19;66,00%;88;20;1;359;257;44;10
5049;2020-11-12;1986-03-16;L;Sidoarjo;547.201;209;83;75,14%;407;26;4;3.867;2.834;129;11
5530;2020-10-19;1988-12-16;P;Surabaya;6.420;3;1;0,00%;13;3;0;141;96;19;8
5865;2020-10-05;1994-08-21;L;Surabaya;55.572;57;14;36,36%;277;21;3;735;758;58;8
6150;2020-10-01;1986-05-23;L;Malang;34.953;29;16;9,41%;88;13;7;543;567;65;8
6301;2020-11-12;1987-12-30;P;Malang;1.024.191;253;84;80,91%;1.270;27;1;6.493;4.422;120;11
6323;2021-03-23;1995-12-20;L;Sidoarjo;2.121;5;5;0,00%;0;4;1;30;6;9;3
6413;2020-10-01;1986-03-15;P;Surabaya;6.503;8;4;0,00%;0;6;0;92;33;30;5
7155;2020-10-02;1985-09-15;P;Sidoarjo;33.806;10;2;65,22%;157;10;0;368;37;12;7
9653;2020-11-23;1994-05-23;P;Malang;114.910;106;41;31,56%;615;27;3;1.794;1.224;120;11
9820;2020-11-09;1983-10-12;L;Sidoarjo;15.588;25;6;54,56%;128;16;0;166;56;64;12
11424;2020-10-06;1989-03-26;P;Malang;10.335;16;4;9,36%;55;14;0;236;158;57;10
12631;2020-10-01;1995-10-07;L;Sidoarjo;58.894;61;26;28,16%;132;22;4;776;625;90;11
15076;2020-09-28;1997-10-24;L;Surabaya;34.808;41;20;16,61%;72;19;0;502;616;63;10
15174;2020-10-14;1988-07-17;P;Sidoarjo;4.145;7;4;2,30%;7;4;0;76;73;27;7
15347;2020-10-02;1993-03-11;L;Malang;17.660;22;9;0,00%;0;12;1;421;210;68;8
15449;2020-10-05;1988-12-21;P;Malang;329;1;1;0,00%;0;1;0;1;7;1;1
15528;2020-10-06;1980-05-11;L;Sidoarjo;43.498;40;23;62,60%;219;19;0;486;348;70;11
15710;2020-10-08;1981-06-26;P;Surabaya;128.849;34;14;95,70%;52;19;2;678;257;44;12
15722;2020-10-09;1990-03-02;L;Surabaya;399.594;146;51;63,85%;478;27;2;3.567;2.157;181;13
15801;2020-10-12;1984-07-17;P;Sidoarjo;54.355;61;25;18,12%;309;22;1;1.095;384;84;11
15813;2020-10-12;1990-09-05;L;Malang;108.639;47;22;53,17%;609;25;1;1.495;355;49;8
15995;2020-10-14;1992-02-13;P;Malang;55.843;39;16;63,41%;146;19;1;580;245;73;9
17322;2020-11-02;1976-12-02;L;Surabaya;3.854;51;20;3,55%;85;19;2;332;122;99;10
17345;2020-10-30;1982-12-20;P;Sidoarjo;94.140;67;30;57,02%;400;21;2;1.251;814;96;12
17629;2020-11-05;1976-05-24;P;Malang;138.555;2443;282;12,71%;1.871;23;4;10.152;5.343;152;12
17991;2020-11-11;1989-06-08;L;Sidoarjo;3.832;4;1;86,30%;0;4;0;28;18;9;5
18022;2020-11-11;1988-08-30;P;Surabaya;16.430;18;8;12,19%;250;15;1;348;231;54;11
18179;2020-11-13;1992-09-18;L;Surabaya;28.012;6;3;100,00%;24;4;0;65;56;2;1
18243;2020-10-06;1996-04-19;P;Sidoarjo;129.137;99;34;45,71%;530;29;1;1.996;1.154;136;12
18250;2020-10-02;1990-07-16;L;Malang;226;3;1;0,00%;0;3;0;16;5;14;3
18310;2020-10-05;1996-11-17;P;Malang;8.331;4;3;78,98%;8;4;0;88;52;17;8
18468;2020-11-16;1974-01-04;L;Sidoarjo;233.207;122;44;82,25%;256;28;9;1.688;708;79;11
19090;2020-11-21;1980-05-24;P;Surabaya;5.401;6;3;0,00%;0;6;0;79;53;26;3
19097;2020-11-21;1981-08-02;L;Surabaya;1.756;1;1;100,00%;0;1;0;12;4;2;1
19287;2020-11-23;1993-01-01;P;Sidoarjo;392.191;310;85;31,47%;1.212;31;4;7.359;4.319;198;12
19412;2020-12-01;1979-07-14;L;Malang;455.984;221;75;71,11%;592;28;5;4.614;2.515;134;11
19640;2020-11-30;1983-11-25;P;Malang;311.466;296;163;16,90%;104;28;6;5.984;3.927;205;13
19972;2020-12-03;1971-11-21;L;Sidoarjo;11.402;17;3;2,88%;21;12;0;214;170;39;10
19976;2020-12-03;1983-09-25;P;Surabaya;11.804;19;7;24,59%;59;13;4;232;133;61;11
20042;2020-11-30;1989-05-07;L;Surabaya;8.992;13;8;15,87%;8;10;0;182;85;60;9
20684;2020-12-04;1983-12-25;P;Sidoarjo;26.183;21;10;12,74%;3;14;1;536;267;51;10
20782;2021-01-12;1981-10-12;L;Malang;33.106;25;11;4,97%;90;13;1;687;468;66;9
20783;2020-12-04;1994-09-11;P;Malang;326.240;129;42;77,07%;0;27;5;2.604;1.093;109;12
21166;2020-12-10;1997-09-28;L;Sidoarjo;11.816;10;1;90,28%;10;10;0;87;27;21;4
21886;2020-12-12;1988-05-31;P;Surabaya;189.300;86;43;76,74%;285;27;1;1.488;878;75;12
22039;2020-12-14;1978-09-22;L;Surabaya;359;4;2;26,29%;1;4;0;31;14;23;10
22042;2020-12-14;1980-12-09;P;Sidoarjo;6.350;4;2;88,54%;3;4;0;29;14;8;5
22121;2020-12-15;1992-12-11;L;Malang;8.900;13;6;12,89%;13;11;3;150;114;44;10
23550;2020-12-28;1982-10-31;P;Malang;7.210;9;5;61,67%;103;7;2;57;70;26;8
25089;2021-01-15;1978-05-18;P;Surabaya;6.320;11;7;0,00%;28;8;1;170;73;40;8
26392;2021-01-27;1982-02-07;L;Surabaya;11.034;9;4;74,71%;5;8;1;97;39;22;8
27152;2021-01-27;1982-02-07;L;Malang;65;1;1;0,00%;400;1;2;4;814;1;1
27335;2021-02-07;1982-09-06;P;Malang;161.210;120;65;27,15%;30;27;3;2.180;2.177;151;12
28491;2021-02-22;1995-05-24;P;Surabaya;5.661;12;6;29,13%;0;8;0;108;56;30;7
29161;2021-03-04;1991-04-24;L;Malang;705;2;2;0,00%;0;1;0;15;16;8;4
29170;2021-03-05;1981-10-09;P;Malang;28.590;37;24;36,06%;80;15;6;498;322;102;11
29185;2021-03-06;1980-10-23;P;Surabaya;204;3;1;0,00%;1;3;0;22;13;5;4
29231;2021-03-10;1982-06-26;L;Surabaya;2.105;5;3;22,22%;3;4;0;45;20;12;5
29237;2021-03-08;1986-06-17;P;Sidoarjo;23.739;31;19;8,05%;13;14;1;445;334;54;10
29412;2021-03-09;1978-03-25;L;Malang;136.163;44;15;85,33%;28;16;2;779;544;68;11
29432;2021-03-18;1991-02-28;P;Malang;7.879;7;5;42,26%;3;6;1;169;68;21;9
30101;2021-03-19;1994-04-25;L;Malang;43.649;28;19;0,00%;0;9;2;814;614;36;7
30481;2021-03-23;1998-05-30;L;Malang;17.555;11;11;44,43%;0;5;0;272;95;41;8